City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Uyuni,BO,-20.4597,-66.825,51.6,68,100,3.11,overcast clouds
325,Pyaozerskiy,RU,65.8333,31.1667,19.83,96,100,7.18,light snow
326,Margate,GB,51.3813,1.3862,30.31,85,54,11.72,broken clouds
327,Pevek,RU,69.7008,170.3133,-1.95,97,100,4.43,overcast clouds
328,Vestmannaeyjar,IS,63.4427,-20.2734,36.46,52,0,4.9,clear sky
329,Huarmey,PE,-10.0681,-78.1522,67.01,85,100,7.07,overcast clouds
330,Saint-Francois,FR,46.4154,3.9054,31.44,93,100,5.75,mist
331,Arua,UG,3.0201,30.9111,64.2,71,96,2.01,overcast clouds
332,Daru,PG,-9.0763,143.2092,83.25,72,100,1.21,overcast clouds
333,Lavrentiya,RU,65.5833,-171.0,15.91,94,100,5.01,overcast clouds
334,Awjilah,LY,29.1081,21.2869,61.95,43,0,8.16,clear sky
335,Partenit,UA,44.578,34.3446,52.0,96,99,4.12,overcast clouds
336,Victoria,HK,22.2855,114.1577,66.94,73,7,5.99,clear sky
337,Islamkot,PK,24.6997,70.177,63.7,27,0,6.87,clear sky
338,Ashtabula,US,41.7001,-80.7665,34.7,80,0,5.75,clear sky
339,West Wendover,US,40.7391,-114.0733,33.01,75,100,0.0,overcast clouds
340,Mogadishu,SO,2.0371,45.3438,79.68,79,100,10.92,overcast clouds
341,San Antonio,US,29.4241,-98.4936,73.85,76,0,11.5,clear sky
342,Alofi,NU,-19.0595,-169.9187,79.86,73,100,5.14,overcast clouds
343,Taunggyi,MM,20.7833,97.0333,61.92,75,5,0.89,clear sky
